시설명,도로명 주소,위도,경도,운영 시간
봉암어린이공원,대전광역시 유성구 농대로15번길 25,36.36164068,127.3516638,"	기본 : 18:00 ~ 18:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
다솔(아)경로당,대전광역시 유성구 궁동로 5 (다솔아파트 102동),36.3618201150586 ,127.3469137,"기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
궁동할머니경로당,대전광역시 유성구 농대로15번길 25 (궁동),36.36164068,127.3516638,"기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
자연(아)경로당,"	대전광역시 유성구 궁동로 49 (궁동, 자연아파트)",36.36430091,127.350298,"기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
"	궁동3통경로당",대전광역시 유성구 궁동로 60 (궁동),36.36400233,127.351224,"기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
죽동푸르지오(아)경로당,"대전광역시 유성구 죽동로 251 (죽동, 푸르지오아파트)",36.37401412,127.3387321,"	기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
죽16통경로당,"	대전광역시 유성구 죽동로 322",36.36942664,127.3356558,"기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
죽동천년나무아파트경로당,"	대전광역시 유성구 죽동로 72",36.37286951,127.3358373,"기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
죽동예미지아파트경로당,대전광역시 유성구 죽동로 321,36.3688269,127.3354355,"	기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
죽동대원칸타빌아파트경로당,"	대전광역시 유성구 죽동로 39",36.37108527,127.3329103,"	기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
죽1통경로당,대전광역시 유성구 은구비로136번안길 27,36.38108546,127.3287891,"기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
"	유성구장애인복지관","	대전광역시 유성구 북유성대로 166",36.38140838,127.3233637,"기본 : 09:00 ~ 18:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
온천1동주민센터,"	대전광역시 유성구 도안대로589번길 35 (봉명동)",36.35311603,127.3389679,"기본 : 09:00 ~ 18:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
유성구종합사회복지관,"	대전광역시 유성구 도안대로589번길 27 (봉명동)",36.35293577,127.3396117,"	기본 : 06:00 ~ 18:00 (월,화,수,목,금)
연장 : 18:00 ~ 21:00 (월,화,수,목,금)
추가 : 06:00 ~ 12:00 (토)"
"	봉명3통경로당","	대전광역시 유성구 장대로 13 (봉명동)",36.35610126,127.3363215,"	기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
"	봉명6통할머니경로당",대전광역시 유성구 계룡로 80 (봉명동),36.35393872,127.3396025,"기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
자이아파트경로당,"	대전광역시 유성구 계룡로 55 (봉명동, 유성자이)",36.35616287,127.3371637,"	기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
봉명희망마을경로당(봉명4통),"	대전광역시 유성구 유성대로680번길 126 (봉명동)",36.35237994,127.3373482,"기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
세움펠리피아(아)경로당,"	대전광역시 유성구 계룡로52번길 11 (봉명동, 유성세움펠리피아 주상복합아파트)",36.35447187,127.3368591,"	기본 : 09:00 ~ 17:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
대전광역시이동노동자쉼터,"	대전광역시 유성구 온천북로 7 (레자미멀티홈)",36.35746687,127.3440569,"	기본 : 10:00 ~ 06:00 (월,화,수,목,금)
연장 : 미운영
추가 : 미운영"
호반베르디움경로당,"	대전광역시 유성구 도안동로 523 (봉명동, 베르디움)",36.3491761,127.3470638,"기본 : 09:00 ~ 18:00 (월,화,수,목,금,토,일)
연장 : 미운영
추가 : 미운영"
"	금성백조예미지경로당","대전광역시 유성구 봉명로 94 (봉명동, 도안신도시7단지예미지백조의호수)",36.34774479,127.3445944,"기본 : 09:00 ~ 18:00 (월,화,수,목,금,토,일)
연장 : 미운영
추가 : 미운영"
"	도안마을1단지경로당","	대전광역시 유성구 도안대로 560",36.35090695,127.3434923,"기본 : 09:00 ~ 18:00 (월,화,수,목,금,토,일)
연장 : 미운영
추가 : 미운영"
도안6단지센트럴시티경로당,"	대전광역시 유성구 봉명로 93",36.34796038,127.3421381,"	기본 : 09:00 ~ 18:00 (월,화,수,목,금,토,일)
연장 : 미운영
추가 : 미운영"
